year,month,marketplace_name,product_name,total_orders,total_items_sold,total_revenue
2024,7,tiktok,Gendes Sweet Aromatic spray Vanilla 7 Miracle Bioaktives,39,44,3243855.00
2024,3,tiktok,PROMO BUNDLING GENDES HANYA 87RB SAJA || SPRAY & FOAM |,32,33,3223158.00
2024,7,tiktok,PROMO BUNDLING GENDES HANYA 97RB SAJA || PAKET 2 SPRAY,27,29,3150392.00
2024,8,shopee,Gendes Paket Promo Bundling Sweet Aromatic Feminine Care 1 Pcs Wash Foam dan 3 Pcs Spray,14,14,3149698.00
2024,6,shopee,Gendes Sweet Aromatic Feminine Care Wash Foam Vanilla 5 Miracle Bioactives Meyeimbangkan PH 50 ml,43,44,3149433.00
2024,12,tiktok,Gendes Promo Bundling Sweet Aromatic Foam Grape dan Spray,28,28,3117990.00
2024,11,tiktok,Promo Bundling Gendes Sweet Aromatic Foam Grape dan Spray,26,26,3057367.00
2024,10,tiktok,Gendes Paket Promo Bundling Feminine Wash Foam Mango dan Sweet Aromatic Feminine Care Spray,29,29,3043070.00
2024,8,tiktok,Gendes Sweet Aromatic Care With Bubble Gum 23ml,43,45,3042412.00
2024,10,tiktok,Promo Bundling Gendes Sweet Aromatic Foam Mango dan Spray,26,26,2897580.00
2024,10,shopee,Gendes Paket Promo Bundling Feminine Wash Foam Bubble Gum dan Sweet Aromatic Feminine Care Spray,30,30,2893510.00
2024,10,tiktok,Gendes Promo Bundling Sweet Aromatic spray  Foam dan Spray Beautyvaganza,25,26,2812680.00
2024,12,shopee,Gendes Paket Promo Bundling Feminine Wash Foam Bubble Gum dan Sweet Aromatic Feminine Care Spray,30,30,2808475.00
2024,9,tiktok,Promo Bundling Gendes Sweet Aromatic spray  Foam dan Spray Beautyvaganza,22,23,2801402.00
2024,12,shopee,PROMO BUNDLING LIVE GENDES || PAKET 1 SPRAY + 1 FOAM BEBAS VARIAN,30,30,2783563.00
2024,9,tiktok,GENDES Sweet Aromatic Spray dengan vanilla 7 Miracle Bioactives 23ml,36,37,2779196.00
2024,11,tiktok,"Gendes Promo Bundling Aromatic Feminine Care Wash Foam Vanilla, Bubble Gum, Grape dan Mango",8,10,2759383.00
2024,12,shopee,"Bundling  Gendes Aromatic Feminine Care 2 Wash Foam Vanilla, Bubble Gum, Grape dan Mango",21,21,2731524.00
2024,4,shopee,PROMO BUNDLING GENDES HANYA 97RB SAJA || PAKET 2 SPRAY,28,28,2651617.00
2024,8,tiktok,Promo Bundling Gendes | 3 Varian Spray & Wash Foam Vanilla,11,11,2609268.00
2024,6,tiktok,Gendes Sweet Aromatic Feminine Care with Vanilla || 7 Miracle Bioactives,31,33,2605456.00
2024,6,tiktok,PROMO BUNDLING GENDES HANYA 97RB SAJA || PAKET 2 SPRAY,20,22,2562722.00
2024,12,shopee,Gendes Sweet Aromatic Feminine Care with Bubble Gum 7 Miracle Bioactives Merawat Kewanitaan 23 ml,47,49,2528230.00
2024,11,tiktok,Gendes Promo Bundling Sweet Aromatic Foam Grape dan Spray,19,20,2493427.00
2024,11,tiktok,Gendes Sweet Aromatic 3 all varian spray Vanilla Bubble gum Hazelnut Mango & Grape Free Mazo Vulcano Clay Stick,16,16,2493101.00
2024,10,tiktok,Gendes Promo Bundling Sweet Aromatic Foam Grape dan Spray,23,23,2462591.00
2024,9,tiktok,Promo Bundling Gendes | 3 Varian Spray & Wash Foam Vanilla,11,11,2451831.00
2024,11,tiktok,Gendes Sweet Aromatic Care Wash Foam Mango 5 Miracle Bioactives 50 ml,14,16,2411147.00
2024,8,shopee,Gendes Paket Promo Bundling Feminine Wash Foam Bubble Gum dan Sweet Aromatic Feminine Care Spray,19,19,2401318.00
2024,12,shopee,Gendes Sweet Aromatic Feminine Care Spray Mango 7 Miracle Bioactives Merawat Kewanitaan 23 ml,16,20,2350180.00
2024,10,tiktok,GENDES Sweet Aromatic Spray dengan vanilla 7 Miracle Bioactives 23ml,31,31,2309745.00
2024,6,shopee,Gendes Paket Promo Bundling Sweet Aromatic Feminine Care 1 Pcs Wash Foam dan 3 Pcs Spray,9,9,2283158.00
2024,11,tiktok,Gendes Promo Bundling 3 Varian Spray & Wash Foam Vanilla Free Mazo Vulcano clay Stick,9,9,2269207.00
2024,10,tiktok,Gendes Sweet Aromatic 3 all varian spray Vanilla Bubble gum dan hazelnut,14,14,2248115.00
2024,12,shopee,Gendes Sweet Aromatic Feminine Care with Hazelnut 7 Miracle Bioactives Merawat Kewanitaan 23 ml,13,17,2210137.00
2024,12,tiktok,Gendes Sweet Aromatic Wash Foam With Vanilla || 5 Miracle Bioactives,27,29,2185749.00
2024,6,tiktok,Gendes Sweet Aromatic Feminine Care Wash Foam With Vanilla || 5 Miracle Bioactives,16,16,2176470.00
2024,12,shopee,Gendes Sweet Aromatic Feminine Care with Grape 7 Miracle Bioactives  23 ml,10,14,2099968.00
2024,9,tiktok,Gendes Sweet Aromatic Care With Bubble Gum 23ml,31,31,2032907.00
2024,7,shopee,Gendes Sweet Aromatic Feminine Care with Hazelnut 7 Miracle Bioactives Merawat Kewanitaan 23 ml,31,31,2020413.00
2024,8,shopee,Gendes Sweet Aromatic Feminine Care with Hazelnut 7 Miracle Bioactives Merawat Kewanitaan 23 ml,31,32,1984431.00
2024,11,tiktok,GENDES Sweet Aromatic Spray dengan vanilla 7 Miracle Bioactives 23ml,32,32,1977023.00
2024,11,tiktok,Gendes Sweet Aromatic Spray with Mango 7 Miracle Bioactives,31,32,1965189.00
2024,10,tiktok,Gendes Sweet Aromatic Care With Bubble Gum 23ml,28,28,1954534.00
2024,9,tiktok,Promo Bundling Gendes Sweet Aromatic Foam Grape dan Spray,17,17,1933159.00
2024,9,tiktok,Gendes Sweet Aromatic 3 all varian spray Vanilla Bubble gum dan hazelnut,10,10,1847339.00
2024,12,tiktok,Gendes Sweet Aromatic 3 all varian spray Vanilla Bubble gum Hazelnut Mango & Grape Free Mazo Vulcano Clay Stick,12,12,1843778.00
2024,10,tiktok,Gendes Promo Bundling 3 Varian Spray & Wash Foam Vanilla,9,9,1806015.00
2024,10,tiktok,Promo Bundling Gendes Sweet Aromatic Foam Bubble Gum dan Spray,16,16,1794400.00
2024,11,tiktok,Gendes Sweet Aromatic Care Wash Foam Grape 5 Miracle Bioactives 50 ml,8,8,1787986.00
2024,10,shopee,Gendes Paket Promo Bundling Feminine Wash Foam Mango dan Sweet Aromatic Feminine Care Spray,18,18,1683277.00
2024,11,tiktok,Gendes Sweet Aromatic Care With Bubble Gum 23ml,26,26,1682148.00
2024,12,tiktok,Promo Bundling Gendes 2 Sweet Aromatic spray,13,14,1640629.00
2024,5,shopee,Gendes Sweet Aromatic Feminine Care with Bubble Gum | 7 Miracle Bioactives | Mencerahkan & Menghaluskan Kulit Kewanitaan,29,29,1604237.00
2024,9,shopee,Gendes Paket Promo Bundling Sweet Aromatic Feminine Care 1 Pcs Wash Foam dan 3 Pcs Spray,7,8,1600491.00
2024,10,tiktok,Gendes Sweet Aromatic Spray with Mango 7 Miracle Bioactives,25,25,1598098.00
2024,4,shopee,Gendes Sweet Aromatic Feminine Care with Vanilla | 7 Miracle Bioactives | Mencerahkan & Menghaluskan Kulit Kewanitaan,26,26,1582423.00
2024,4,tiktok,PROMO BUNDLING GENDES HANYA 109RB SAJA || PAKET 1 SPRAY + 1 FOAM |,10,11,1569113.00
2024,8,tiktok,GENDES Sweet Aromatic Spray dengan Hazelnut 7 Miracle Bioactives 23ml,14,15,1540424.00
2024,7,shopee,Gendes Paket Promo Bundling Sweet Aromatic Feminine Care 1 Pcs Wash Foam dan 3 Pcs Spray,6,6,1446044.00
2024,5,shopee,PROMO BUNDLING GENDES HANYA 97RB SAJA || PAKET 2 VARIAN SPRAY,20,20,1368362.00
2024,4,shopee,Gendes Sweet Aromatic Feminine Care with Bubble Gum | 7 Miracle Bioactives | Mencerahkan & Menghaluskan Kulit Kewanitaan,21,21,1360867.00
2024,8,tiktok,Gendes Sweet Aromatic Spray with Grape 7 Miracle Bioactives,8,8,1326854.00
2024,6,shopee,Gendes Sweet Aromatic Feminine Care with Hazelnut 7 Miracle Bioactives Merawat Kewanitaan 23 ml,25,25,1322163.00
2024,12,tiktok,Gendes Sweet Aromatic Care Wash Foam Mango 5 Miracle Bioactives 50 ml,17,17,1315611.00
2024,3,shopee,PROMO BUNDLING GENDES HANYA 87RB SAJA || Spray & Wash Foam,12,13,1299052.00
2024,9,shopee,Gendes Paket Promo Bundling Feminine Wash Foam Grape dan Sweet Aromatic Feminine Care Spray,12,12,1273877.00
2024,12,tiktok,Gendes Sweet Aromatic Spray with Mango 7 Miracle Bioactives,17,18,1212861.00
2024,8,tiktok,Gendes Sweet Aromatic Spray with Mango 7 Miracle Bioactives,10,10,1202872.00
2024,7,shopee,Gendes Paket Promo Bundling Sweet Aromatic Feminine Care Spray 3 Pcs,7,7,1169903.00
2024,8,shopee,Gendes Sweet Aromatic Feminine Care Wash Foam Bubble Gum 5 Miracle Bioactives Meyeimbangkan PH 50 ml,15,15,1149516.00
2024,9,tiktok,Gendes Sweet Aromatic Spray with Mango 7 Miracle Bioactives,14,14,1113218.00
2024,12,tiktok,Gendes Sweet Aromatic Wash Foam With Vanilla 5 Miracle Bioactives,14,15,1093106.00
2024,5,shopee,Gendes Sweet Aromatic Feminine Care Wash Foam With Vanilla | 5 Miracle Bioactives | Mencerahkan & Meyeimbangkan PH Kewanitaan,14,14,1080577.00
