year,month,marketplace_name,province,city,total_customers,total_orders,total_revenue
2024,9,shopee,banten,kota tangerang,24,26,2224166.00
2024,10,tiktok,jawa barat,kabupaten bekasi,22,22,2218083.00
2024,12,tiktok,dki jakarta,kota jakarta timur,13,16,2201798.00
2024,11,shopee,jawa barat,kota depok,23,29,2183902.00
2024,9,tiktok,dki jakarta,kota jakarta barat,19,19,2172648.00
2024,11,shopee,dki jakarta,kota jakarta utara,24,27,2155635.00
2024,11,tiktok,dki jakarta,kota jakarta timur,16,18,2155501.00
2024,9,tiktok,banten,kota serang,19,19,2154522.00
2024,8,tiktok,jawa barat,kabupaten bandung,19,21,2148321.00
2024,11,tiktok,bali,kabupaten badung,17,19,2141065.00
2024,6,shopee,banten,kota tangerang,22,24,2133716.00
2024,7,shopee,jawa tengah,kabupaten brebes,16,21,2110212.00
2024,12,shopee,jawa timur,kabupaten malang,19,20,2107452.00
2024,7,shopee,dki jakarta,kota jakarta barat,28,32,2105397.00
2024,10,shopee,banten,kota tangerang,25,26,2102760.00
2024,8,tiktok,jawa tengah,kabupaten tegal,17,18,2091626.00
2024,9,tiktok,jawa barat,kota depok,14,17,2082737.00
2024,12,tiktok,bali,kabupaten badung,16,19,2076872.00
2024,12,tiktok,jawa barat,kabupaten bandung,21,22,2072314.00
2024,8,tiktok,jawa barat,kota bekasi,17,19,2067916.00
2024,7,shopee,dki jakarta,kota jakarta pusat,23,25,2067360.00
2024,6,tiktok,nusa tenggara barat (ntb),kabupaten lombok timur,13,13,2059979.00
2024,8,tiktok,sumatera utara,kota medan,17,21,2058421.00
2024,11,tiktok,kalimantan selatan,kota banjarmasin,13,14,2053929.00
2024,12,tiktok,jawa barat,kabupaten indramayu,20,23,2049177.00
2024,7,tiktok,dki jakarta,kota jakarta timur,18,20,2041911.00
2024,10,tiktok,nusa tenggara barat (ntb),kabupaten sumbawa,15,17,2038645.00
2024,10,tiktok,dki jakarta,kota jakarta pusat,20,20,2037757.00
2024,8,tiktok,dki jakarta,kota jakarta utara,15,16,2031035.00
2024,10,tiktok,dki jakarta,kota jakarta barat,18,19,2030782.00
2024,9,tiktok,di yogyakarta,kabupaten bantul,19,21,2020559.00
2024,12,tiktok,jawa tengah,kota semarang,17,18,2016129.00
2024,11,tiktok,dki jakarta,kota jakarta utara,14,15,2015131.00
2024,6,shopee,dki jakarta,kota jakarta utara,27,27,2010845.00
2024,10,tiktok,bali,kabupaten buleleng,15,17,2008369.00
2024,10,tiktok,jawa timur,kota malang,16,19,2006523.00
2024,10,tiktok,jawa barat,kota depok,16,18,1997320.00
2024,10,tiktok,di yogyakarta,kabupaten bantul,18,18,1995789.00
2024,11,shopee,jawa timur,kabupaten kediri,17,18,1995423.00
2024,12,tiktok,jawa barat,kabupaten bogor,22,22,1990167.00
2024,9,shopee,jawa barat,kota depok,26,28,1984735.00
2024,11,tiktok,di yogyakarta,kabupaten sleman,14,17,1984465.00
2024,11,tiktok,jawa tengah,kota semarang,16,16,1973425.00
2024,7,tiktok,kalimantan timur,kota balikpapan,15,16,1970015.00
2024,11,shopee,banten,kota tangerang selatan,24,25,1968708.00
2024,7,tiktok,di yogyakarta,kabupaten sleman,13,13,1967697.00
2024,8,shopee,dki jakarta,kota jakarta utara,23,26,1963654.00
2024,9,tiktok,banten,kabupaten serang,16,19,1962823.00
2024,7,shopee,jawa timur,kota surabaya,21,21,1959680.00
2024,8,shopee,dki jakarta,kota jakarta pusat,24,26,1959601.00
2024,10,tiktok,kalimantan timur,kota balikpapan,14,16,1952079.00
2024,8,tiktok,jawa barat,kabupaten garut,12,12,1949921.00
2024,12,tiktok,nusa tenggara barat (ntb),kabupaten lombok barat,19,19,1948477.00
2024,10,tiktok,jawa timur,kabupaten banyuwangi,15,17,1945577.00
2024,7,tiktok,jawa barat,kota bekasi,15,16,1942724.00
2024,9,tiktok,banten,kota tangerang selatan,17,17,1924589.00
2024,12,tiktok,sumatera utara,kota medan,16,19,1914362.00
2024,5,shopee,jawa barat,kabupaten bekasi,20,20,1899994.00
2024,11,tiktok,jawa barat,kabupaten bandung barat,17,17,1899395.00
2024,8,tiktok,banten,kota serang,17,19,1877607.00
2024,7,tiktok,jawa tengah,kota semarang,14,16,1862523.00
2024,8,tiktok,jawa barat,kota depok,16,17,1856485.00
2024,7,tiktok,bali,kabupaten gianyar,13,15,1850606.00
2024,6,tiktok,banten,kota tangerang,3,4,1837800.00
2024,11,tiktok,jawa tengah,kabupaten brebes,15,18,1834977.00
2024,10,tiktok,banten,kota serang,13,13,1819234.00
2024,11,tiktok,banten,kabupaten serang,10,10,1816822.00
2024,8,tiktok,di yogyakarta,kabupaten bantul,14,15,1814124.00
2024,12,tiktok,di yogyakarta,kabupaten sleman,17,18,1808542.00
2024,10,tiktok,sumatera utara,kota medan,17,18,1806997.00
2024,8,shopee,jawa timur,kota surabaya,28,30,1806983.00
2024,5,shopee,banten,kota tangerang selatan,14,15,1804321.00
2024,5,shopee,dki jakarta,kota jakarta timur,20,21,1799243.00
2024,10,tiktok,jawa tengah,kabupaten sukoharjo,15,15,1796119.00
2024,12,tiktok,jawa timur,kota surabaya,19,19,1791874.00
2024,12,tiktok,kalimantan selatan,kota banjarmasin,17,18,1785888.00
2024,9,tiktok,bali,kabupaten gianyar,15,17,1767332.00
2024,5,shopee,jawa barat,kota bekasi,25,31,1766976.00
2024,7,shopee,jawa barat,kota bogor,22,25,1765325.00
2024,11,tiktok,bali,kabupaten buleleng,16,19,1756352.00
2024,7,tiktok,jawa tengah,kabupaten brebes,12,12,1753714.00
2024,12,tiktok,jawa barat,kota bekasi,15,18,1743911.00
2024,12,tiktok,sulawesi selatan,kota makassar,16,17,1740165.00
2024,12,tiktok,jawa barat,kabupaten cianjur,16,16,1712421.00
2024,11,tiktok,jawa barat,kota bekasi,15,15,1710459.00
2024,5,shopee,jawa barat,kabupaten karawang,18,19,1708453.00
2024,12,tiktok,banten,kabupaten tangerang,15,17,1703194.00
2024,5,shopee,dki jakarta,kota jakarta selatan,19,21,1697174.00
2024,12,tiktok,jawa barat,kabupaten bandung barat,10,13,1696969.00
2024,8,tiktok,jawa tengah,kota semarang,17,17,1694381.00
2024,10,tiktok,banten,kabupaten tangerang,15,15,1691526.00
2024,7,tiktok,sumatera utara,kota medan,14,14,1690366.00
2024,4,shopee,jawa barat,kabupaten bogor,13,16,1688688.00
2024,12,shopee,dki jakarta,kota jakarta pusat,19,19,1688507.00
2024,11,tiktok,banten,kota tangerang selatan,15,16,1682229.00
2024,8,tiktok,kalimantan selatan,kota banjarbaru,13,13,1679517.00
2024,11,tiktok,jawa barat,kota bogor,15,15,1679327.00
2024,6,shopee,jawa barat,kota bogor,20,21,1677428.00
2024,11,tiktok,jawa barat,kabupaten bandung,13,16,1669770.00
2024,11,shopee,banten,kota tangerang,22,24,1657929.00
2024,7,tiktok,jawa tengah,kabupaten tegal,14,15,1656461.00
2024,12,tiktok,jawa tengah,kabupaten tegal,16,17,1646846.00
2024,10,tiktok,jawa timur,kabupaten sumenep,15,16,1638836.00
2024,11,tiktok,jawa timur,kabupaten banyuwangi,9,11,1629462.00
2024,11,tiktok,jawa tengah,kabupaten tegal,14,15,1619166.00
2024,9,tiktok,jawa barat,kota bekasi,15,15,1618145.00
2024,12,shopee,jawa tengah,kabupaten klaten,12,12,1615671.00
2024,10,tiktok,kalimantan selatan,kabupaten banjar,15,16,1605280.00
2024,6,shopee,jawa timur,kabupaten kediri,11,14,1603525.00
2024,8,tiktok,bali,kabupaten tabanan,15,15,1590157.00
2024,11,tiktok,bali,kabupaten gianyar,13,13,1585755.00
2024,6,tiktok,jawa barat,kabupaten bandung,9,9,1571226.00
2024,11,tiktok,jawa barat,kabupaten bekasi,14,14,1562393.00
2024,8,tiktok,bali,kabupaten gianyar,13,13,1551149.00
2024,10,shopee,banten,kota tangerang selatan,18,19,1546681.00
2024,8,tiktok,jawa barat,kabupaten cianjur,14,15,1545192.00
2024,9,tiktok,bali,kabupaten jembrana,13,14,1528712.00
2024,9,tiktok,jawa tengah,kabupaten kendal,15,16,1523055.00
2024,6,tiktok,bali,kota denpasar,12,13,1523040.00
2024,11,tiktok,jawa timur,kabupaten pamekasan,13,14,1514803.00
2024,7,shopee,jawa timur,kabupaten sidoarjo,16,17,1507642.00
2024,9,shopee,jawa timur,kabupaten jombang,18,22,1503937.00
2024,9,tiktok,jawa tengah,kota semarang,16,16,1502765.00
2024,7,tiktok,banten,kota cilegon,11,12,1502638.00
2024,12,tiktok,dki jakarta,kota jakarta selatan,14,16,1502113.00
2024,9,shopee,jawa barat,kota bogor,17,20,1497544.00
2024,6,shopee,jawa timur,kota surabaya,17,17,1495700.00
2024,7,shopee,jawa barat,kabupaten sukabumi,19,19,1495318.00
2024,11,tiktok,dki jakarta,kota jakarta selatan,12,12,1490503.00
2024,9,shopee,dki jakarta,kota jakarta pusat,20,21,1486366.00
2024,9,tiktok,kalimantan selatan,kabupaten banjar,8,13,1477263.00
2024,8,tiktok,kepulauan riau,kota batam,13,13,1473906.00
2024,8,tiktok,jawa barat,kabupaten karawang,14,14,1472425.00
2024,12,shopee,kepulauan riau,kota batam,10,11,1471373.00
2024,11,tiktok,jawa timur,kabupaten kediri,13,15,1466393.00
2024,11,tiktok,dki jakarta,kota jakarta pusat,11,14,1464431.00
2024,9,shopee,jawa timur,kota surabaya,8,10,1463489.00
2024,9,tiktok,jawa tengah,kabupaten kebumen,10,11,1462896.00
2024,6,tiktok,nusa tenggara barat (ntb),kota mataram,12,12,1458854.00
2024,11,tiktok,jawa barat,kota depok,12,13,1456465.00
2024,9,tiktok,di yogyakarta,kabupaten gunung kidul,9,9,1452419.00
2024,12,shopee,jawa tengah,kota semarang,17,17,1450746.00
2024,10,tiktok,bali,kabupaten gianyar,14,14,1443206.00
2024,8,tiktok,jawa barat,kabupaten indramayu,13,15,1435678.00
2024,5,shopee,banten,kota tangerang,18,21,1429848.00
